Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:12:40.305,114360.1,0.417,BTCUSDT
2025-09-30 00:12:40.305,114360.1,0.148,BTCUSDT
2025-09-30 00:12:40.471,114360.0,0.001,BTCUSDT
2025-09-30 00:12:40.721,114360.1,0.004,BTCUSDT
2025-09-30 00:12:40.856,114360.0,0.099,BTCUSDT
2025-09-30 00:12:41.152,114360.0,0.087,BTCUSDT
2025-09-30 00:12:41.224,114360.1,0.003,BTCUSDT
2025-09-30 00:12:41.771,114360.0,0.001,BTCUSDT
2025-09-30 00:12:42.059,114360.0,0.01,BTCUSDT
2025-09-30 00:12:42.155,114360.1,0.1,BTCUSDT
2025-09-30 00:12:42.160,114360.0,0.087,BTCUSDT
2025-09-30 00:12:42.234,114360.1,0.162,BTCUSDT
2025-09-30 00:12:42.234,114360.1,0.261,BTCUSDT
2025-09-30 00:12:42.460,114360.0,0.001,BTCUSDT
2025-09-30 00:12:42.784,114360.1,0.003,BTCUSDT
2025-09-30 00:12:43.000,114360.1,0.002,BTCUSDT
